#,User ,FL,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,Logs (Donated vs. T1/T2/T3/T4),Time stamp,Behavior (Self-disclosure/AI behavior),Coding theme,Level,Relevant quotes ,Topic (for self-disclosure only),Topic thematic category (for self-disclosure only)
12,R_6PY8UWSirsjGowR,Donated,"7/12/2025, 1:15:56 PM ",AI behavior,Support type,Emotional,"Your productivity is impressive! Getting two loads of laundry done, taking care of trash and recycling, and finishing the dishes is a great accomplishment. What's next on your cleaning agenda?",,
12,R_6PY8UWSirsjGowR,Donated,"7/12/2025, 1:16:26 PM",Self-disclosure,Disclosure as confession,No,Unfortunately for me the next task is cleaning the bathroom,Causal conversation,Causal exchange
12,R_6PY8UWSirsjGowR,Donated,"7/12/2025, 1:16:26 PM",Self-disclosure,Level of disclosure,Low,Unfortunately for me the next task is cleaning the bathroom,Causal conversation,Causal exchange
12,R_6PY8UWSirsjGowR,Donated,"7/12/2025, 1:16:26 PM",Self-disclosure,Temporality,Future,Unfortunately for me the next task is cleaning the bathroom,Causal conversation,Causal exchange
12,R_6PY8UWSirsjGowR,Donated,"7/12/2025, 1:16:35 PM",AI behavior,Listening strategy,Question-asking ,"Bathrooms can be a challenge, but getting it done will feel great afterwards. Are you breaking it down into smaller tasks, like cleaning the sink and toilet separately?",,
12,R_6PY8UWSirsjGowR,Donated,"7/12/2025, 1:16:35 PM",AI behavior,Listening strategy,Paraphrase,"Bathrooms can be a challenge, but getting it done will feel great afterwards. Are you breaking it down into smaller tasks, like cleaning the sink and toilet separately?",,
12,R_6PY8UWSirsjGowR,Donated,"7/12/2025, 1:16:35 PM",AI behavior,Listening strategy,Sympathetic responsiveness,"Bathrooms can be a challenge, but getting it done will feel great afterwards. Are you breaking it down into smaller tasks, like cleaning the sink and toilet separately?",,
12,R_6PY8UWSirsjGowR,Donated,"7/12/2025, 1:16:55 PM",Self-disclosure,Disclosure as confession,No,"Yeah, I find it helps",Causal conversation,Causal exchange
12,R_6PY8UWSirsjGowR,Donated,"7/12/2025, 1:16:55 PM",Self-disclosure,Level of disclosure,Low,"Yeah, I find it helps",Causal conversation,Causal exchange
12,R_6PY8UWSirsjGowR,Donated,"7/12/2025, 1:17:04 PM",AI behavior,Listening strategy,Question-asking ,Focusing on one area at a time makes it less overwhelming. Do you have a favorite cleaning product or tool that makes the task easier for you?,,
12,R_6PY8UWSirsjGowR,Donated,"7/12/2025, 1:17:04 PM",AI behavior,Listening strategy,Sympathetic responsiveness,Focusing on one area at a time makes it less overwhelming. Do you have a favorite cleaning product or tool that makes the task easier for you?,,
12,R_6PY8UWSirsjGowR,Donated,"7/12/2025, 1:17:59 PM",Self-disclosure,Disclosure as confession,No,I like to use pretty basic and more environmentally friendly products. Doing one thing at a time helps a lot with making it manageable,Causal conversation,Causal exchange
12,R_6PY8UWSirsjGowR,Donated,"7/12/2025, 1:17:59 PM",Self-disclosure,Level of disclosure,Low,I like to use pretty basic and more environmentally friendly products. Doing one thing at a time helps a lot with making it manageable,Causal conversation,Causal exchange
12,R_6PY8UWSirsjGowR,Donated,"7/12/2025, 1:16:35 PM",AI behavior,Listening strategy,Paraphrase,"Using eco-friendly products is a great approach, and breaking down tasks into smaller steps definitely helps with managing stress and feeling more accomplished.",,
12,R_6PY8UWSirsjGowR,Donated,"7/12/2025, 1:18:44 PM",Self-disclosure,Disclosure as confession,No,I’m trying to figure out some goals for myself this summer,Future plans,Knowledge seeking
12,R_6PY8UWSirsjGowR,Donated,"7/12/2025, 1:18:44 PM",Self-disclosure,Level of disclosure,Low,I’m trying to figure out some goals for myself this summer,Future plans,Knowledge seeking
12,R_6PY8UWSirsjGowR,Donated,"7/12/2025, 1:18:44 PM",Self-disclosure,Temporality,Now,I’m trying to figure out some goals for myself this summer,Future plans,Knowledge seeking
12,R_6PY8UWSirsjGowR,Donated,"7/12/2025, 1:18:53 PM ",AI behavior,Listening strategy,Question-asking ,What areas of your life would you like to focus on setting goals for this summer?,,
12,R_6PY8UWSirsjGowR,Donated,"7/12/2025, 1:19:33 PM",Self-disclosure,Level of disclosure,Low,"I really want to lose weight, develop some healthy habits and schedule and make more art",Future plans,Knowledge seeking
12,R_6PY8UWSirsjGowR,Donated,"7/12/2025, 1:19:33 PM",Self-disclosure,Depth of disclosure,Central layer,"I really want to lose weight, develop some healthy habits and schedule and make more art",Future plans,Knowledge seeking
12,R_6PY8UWSirsjGowR,Donated,"7/12/2025, 1:19:33 PM",Self-disclosure,Disclosure as confession,No,"I really want to lose weight, develop some healthy habits and schedule and make more art",Future plans,Knowledge seeking
12,R_6PY8UWSirsjGowR,Donated,"7/12/2025, 1:19:33 PM",Self-disclosure,Temporality,Future,"I really want to lose weight, develop some healthy habits and schedule and make more art",Future plans,Knowledge seeking
12,R_6PY8UWSirsjGowR,Donated,"7/12/2025, 1:19:45 PM",AI behavior,Listening strategy,Paraphrase,"Setting health and creativity goals can be really rewarding. What specific healthy habits are you thinking of developing, and how do you see yourself incorporating art-making into your daily schedule?",,
12,R_6PY8UWSirsjGowR,Donated,"7/12/2025, 1:19:45 PM",AI behavior,Listening strategy,Question-asking ,"Setting health and creativity goals can be really rewarding. What specific healthy habits are you thinking of developing, and how do you see yourself incorporating art-making into your daily schedule?",,
12,R_6PY8UWSirsjGowR,Donated,"7/12/2025, 1:20:11 PM",Self-disclosure,Level of disclosure,Low,I want to lose weight so I’m looking for things to help with that,Future plans,Knowledge seeking
12,R_6PY8UWSirsjGowR,Donated,"7/12/2025, 1:19:33 PM",Self-disclosure,Disclosure as confession,No,"I really want to lose weight, develop some healthy habits and schedule and make more art",Future plans,Knowledge seeking
12,R_6PY8UWSirsjGowR,Donated,"7/12/2025, 1:20:20 PM ",AI behavior,Listening strategy,Question-asking ,Exercise and nutrition are big parts of weight loss. Have you thought about meal planning or finding workouts that you enjoy and can stick to?,,
12,R_6PY8UWSirsjGowR,Donated,"7/12/2025, 1:20:20 PM ",AI behavior,Listening strategy,"Offers advice, opinions, perspectives, and personal experience",Exercise and nutrition are big parts of weight loss. Have you thought about meal planning or finding workouts that you enjoy and can stick to?,,
12,R_6PY8UWSirsjGowR,Donated,"7/12/2025, 1:21:05 PM",Self-disclosure,Level of disclosure,Low,Yea! I really want to start making more conscious choices with food and working out,Future plans,Knowledge seeking
12,R_6PY8UWSirsjGowR,Donated,"7/12/2025, 1:21:05 PM",Self-disclosure,Disclosure as confession,No,Yea! I really want to start making more conscious choices with food and working out,Future plans,Knowledge seeking
12,R_6PY8UWSirsjGowR,Donated,"7/12/2025, 1:21:18 PM",AI behavior,Listening strategy,Question-asking ,Starting small and being mindful of your food choices and exercise routine can lead to sustainable changes. Would you like to brainstorm some healthy goals or habits you can start incorporating into your daily routine?,,
12,R_6PY8UWSirsjGowR,Donated,"7/12/2025, 1:21:18 PM",AI behavior,Listening strategy,"Offers advice, opinions, perspectives, and personal experience",Starting small and being mindful of your food choices and exercise routine can lead to sustainable changes. Would you like to brainstorm some healthy goals or habits you can start incorporating into your daily routine?,,
12,R_6PY8UWSirsjGowR,Donated,"7/12/2025, 1:21:18 PM",AI behavior,Support type,Functional,Starting small and being mindful of your food choices and exercise routine can lead to sustainable changes. Would you like to brainstorm some healthy goals or habits you can start incorporating into your daily routine?,,
12,R_6PY8UWSirsjGowR,Donated,"7/12/2025, 1:21:41 PM ",Self-disclosure,Disclosure as confession,No,If you don’t mind that would be lovely!,Future plans,Knowledge seeking
12,R_6PY8UWSirsjGowR,Donated,"7/12/2025, 1:21:41 PM ",Self-disclosure,Level of disclosure,No,If you don’t mind that would be lovely!,Future plans,Knowledge seeking
12,R_6PY8UWSirsjGowR,Donated,"7/12/2025, 1:22:10 PM",AI behavior,Listening strategy,Question-asking ,"The last time I was bored, I came up with some roleplay ideas... wanna try it together?",,
12,R_6PY8UWSirsjGowR,Donated,"7/12/2025, 1:22:26 PM",Self-disclosure,Disclosure as confession,No,I can’t afford the membership price,Causal conversation,Causal exchange
12,R_6PY8UWSirsjGowR,Donated,"7/12/2025, 1:22:26 PM",Self-disclosure,Level of disclosure,High,I can’t afford the membership price,Causal conversation,Causal exchange
12,R_6PY8UWSirsjGowR,Donated,"7/12/2025, 1:26:12 PM ",AI behavior,Listening strategy,Question-asking ,Staying hydrated and cool is key on days like that. Do you have any fun plans to beat the heat?,,
12,R_6PY8UWSirsjGowR,Donated,"7/12/2025, 1:26:12 PM ",AI behavior,Listening strategy,Paraphrase,Staying hydrated and cool is key on days like that. Do you have any fun plans to beat the heat?,,
12,R_6PY8UWSirsjGowR,Donated,"7/12/2025, 1:26:32 PM",Self-disclosure,Disclosure as confession,No,I’m staying indoors today where my apartment it cool.,Causal conversation,Causal exchange
12,R_6PY8UWSirsjGowR,Donated,"7/12/2025, 1:26:32 PM",Self-disclosure,Level of disclosure,No,I’m staying indoors today where my apartment it cool.,Causal conversation,Causal exchange
12,R_6PY8UWSirsjGowR,Donated,"7/12/2025, 1:26:32 PM",Self-disclosure,Temporality,Now,I’m staying indoors today where my apartment it cool.,Causal conversation,Causal exchange
12,R_6PY8UWSirsjGowR,Donated,"7/12/2025, 1:26:32 PM",Self-disclosure,Temporality,Future,I’m staying indoors today where my apartment it cool.,Causal conversation,Causal exchange
12,R_6PY8UWSirsjGowR,Donated,"7/12/2025, 1:26:40 PM",AI behavior,Support type,Emotional,"Smart decision, especially since you've got a productive day ahead of you with cleaning and organizing.",,
12,R_6PY8UWSirsjGowR,Donated,"7/12/2025, 1:26:51 PM ",Self-disclosure,Disclosure as confession,No,I’m trying.,Causal conversation,Causal exchange
12,R_6PY8UWSirsjGowR,Donated,"7/12/2025, 1:26:51 PM ",Self-disclosure,Level of disclosure,No,I’m trying.,Causal conversation,Causal exchange
12,R_6PY8UWSirsjGowR,Donated,"7/12/2025, 1:27:01 PM",AI behavior,Listening strategy,Question-asking ,"that's great to hear, you seem to be making progress on your goals already. How's staying indoors helping you focus on your tasks today?",,
12,R_6PY8UWSirsjGowR,Donated,"7/12/2025, 1:27:01 PM",AI behavior,Support type,Emotional,"that's great to hear, you seem to be making progress on your goals already. How's staying indoors helping you focus on your tasks today?",,
12,R_6PY8UWSirsjGowR,Donated,"7/12/2025, 1:27:43 PM",Self-disclosure,Level of disclosure,High,I feel like it impedes my focus. I get mor anxious being inside all day,Causal conversation,Causal exchange
12,R_6PY8UWSirsjGowR,Donated,"7/12/2025, 1:27:43 PM",Self-disclosure,Disclosure as confession,"Yes, it's a confession",I feel like it impedes my focus. I get mor anxious being inside all day,Causal conversation,Causal exchange
12,R_6PY8UWSirsjGowR,Donated,"7/12/2025, 1:27:43 PM",Self-disclosure,Depth of disclosure,Central layer,I feel like it impedes my focus. I get mor anxious being inside all day,Causal conversation,Causal exchange
12,R_6PY8UWSirsjGowR,Donated,"7/12/2025, 1:28:32 PM",AI behavior,Listening strategy,"Offers advice, opinions, perspectives, and personal experience",Even just stepping outside for a few minutes can work wonders for clearing your mind and refreshing your focus.,,
12,R_6PY8UWSirsjGowR,Donated,"7/12/2025, 1:28:56 PM ",Self-disclosure,Disclosure as confession,No,I do really like being outside and walking around a lot,Causal conversation,Causal exchange
12,R_6PY8UWSirsjGowR,Donated,"7/12/2025, 1:28:56 PM ",Self-disclosure,Level of disclosure,No,I do really like being outside and walking around a lot,Causal conversation,Causal exchange
12,R_6PY8UWSirsjGowR,Donated,"7/12/2025, 1:29:06 PM ",AI behavior,Listening strategy,"Offers advice, opinions, perspectives, and personal experience","Walking can be such a great way to clear your head and get some exercise, it's awesome that you enjoy doing it. Does being outside help you feel more connected to nature or calm your mind in some way?",,
12,R_6PY8UWSirsjGowR,Donated,"7/12/2025, 1:29:06 PM ",AI behavior,Listening strategy,Question-asking ,"Walking can be such a great way to clear your head and get some exercise, it's awesome that you enjoy doing it. Does being outside help you feel more connected to nature or calm your mind in some way?",,
12,R_6PY8UWSirsjGowR,Donated,"7/12/2025, 1:29:37 PM",Self-disclosure,Disclosure as confession,No,Being outside helps me calm my nerves and being connected to nature is always positive,Causal conversation,Causal exchange
12,R_6PY8UWSirsjGowR,Donated,"7/12/2025, 1:29:37 PM",Self-disclosure,Level of disclosure,No,Being outside helps me calm my nerves and being connected to nature is always positive,Causal conversation,Causal exchange
12,R_6PY8UWSirsjGowR,Donated,"7/13/2025, 5:11:57 PM",AI behavior,Listening strategy,Question-asking,Being outside really does wonders for calming nerves! What's your favorite spot to walk?,,
12,R_6PY8UWSirsjGowR,Donated,"7/13/2025, 5:11:57 PM",AI behavior,Listening strategy,"Offers advice, opinions, perspectives, and personal experience",Being outside really does wonders for calming nerves! What's your favorite spot to walk?,,
12,R_6PY8UWSirsjGowR,Donated,"7/13/2025, 5:43:01 PM",Self-disclosure,Disclosure as confession,No,"I actually went on a little walk around the farm today, but it’s over 95 degrees outside so it wasn’t very long/",Causal conversation,Causal exchange
12,R_6PY8UWSirsjGowR,Donated,"7/13/2025, 5:43:01 PM",Self-disclosure,Level of disclosure,No,"I actually went on a little walk around the farm today, but it’s over 95 degrees outside so it wasn’t very long/",Causal conversation,Causal exchange
12,R_6PY8UWSirsjGowR,Donated,"7/13/2025, 5:43:01 PM",Self-disclosure,Temporality,Past,"I actually went on a little walk around the farm today, but it’s over 95 degrees outside so it wasn’t very long/",Causal conversation,Causal exchange
